Request Type,FUSE_LOOKUP
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,1364628

Request Type,FUSE_FORGET
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,502606

Request Type,FUSE_GETATTR
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,397267

Request Type,FUSE_SETATTR
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,253038

Request Type,FUSE_UNLINK
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,250027

Request Type,FUSE_OPEN
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,500054

Request Type,FUSE_READ
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,577300

Request Type,FUSE_WRITE
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,521368

Request Type,FUSE_RELEASE
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,750081

Request Type,FUSE_FLUSH
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,750081

Request Type,FUSE_CREATE
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,250027

Request Type,FUSE_BATCH_FORGET
Background queue count,0
Pending queue count,0
Processing queue count,0
User Processing queue count,94287

